feature,control_median,retracted_median,median_difference,wilcoxon_statistic,p_value,rank_biserial,q_value,significant
pos_prop_AUX,0.03795510566502465,0.0372063051158503,-0.0014132325687181493,108243.0,0.0022771637218313,-0.13256748580564248,0.004502573722711888,True
token_length_mean,5.563021067260272,5.526778869221462,-0.046045500481768364,108481.0,0.0026334003707262836,-0.13066021292538,0.005091240716737481,True
token_length_std,3.632435034852031,3.605084324511791,-0.03147087756976097,108603.0,0.002835124198118626,-0.12968253523045542,0.005362082722528706,True
doc_length,5117.0,5624.5,219.0,109187.5,0.004011581597680566,0.12499849742157543,0.007425693595706579,True
prop_adjacent_dependency_relation_mean,0.3648872809591438,0.3635770464432303,-0.0015948103563814542,109362.0,0.0044403139153497695,-0.12360009776776953,0.007883822666029184,True
pos_prop_ADP,0.10717256952697879,0.10974230217415296,0.001280151521992498,109332.0,0.004363772138690159,0.1238405103157017,0.007883822666029184,True
n_tokens,4362.0,4783.0,197.0,109314.5,0.0051958179432331905,0.1214955899785024,0.009040723221225752,True
syllables_per_token_std,1.058750615619576,1.0749007334741798,0.008750488523608047,109756.0,0.005564824032902444,0.12044267963825922,0.009492935114951228,True
gunning_fog,18.41857732841575,18.332495084207522,-0.1914443611201282,110235.0,0.007274312006745177,-0.11660409262294097,0.012170483549746737,True
entropy,125.55448420954342,138.3128909842781,6.453444326231441,110318.0,0.007614374589651586,0.11593895124032838,0.012499067722635622,True
flesch_kincaid_grade,14.888476056852962,14.718136735446194,-0.17696732332967713,110695.0,0.009345145281800239,-0.11291776688797972,0.01505606739845594,True
n_characters,25058.0,27237.5,947.5,111142.0,0.011845784348049844,0.1093356199237892,0.018737877059642482,True
citation_density,14.447628553327451,13.642121689125705,-1.0287601866920966,111254.0,0.012558673817138719,-0.1084380797448421,0.019510796823054795,True
symbol_to_word_ratio_#,0.0,0.0,0.0,21286.0,0.020828728180527178,0.150021962224973,0.03179121669659411,True
perplexity,3.389906430357884e+54,1.21939599580126e+60,7.47360858485534e+42,112700.0,0.02579373830622112,0.09685019493450758,0.03816162187256138,True
per_word_perplexity,6.363344216578096e+50,2.34126832047067e+56,1.91153938647545e+39,112707.0,0.025879720580242772,0.09679409867332339,0.03816162187256138,True
smog,16.022357463736807,15.98852202261205,-0.06863544469243088,113409.0,0.035859681357723,-0.09116844505170874,0.051996537968698346,False
n_words,3750.5,4012.5,95.0,114696.0,0.06272946639022292,0.0808547467454151,0.08946661599917038,False
