OriginalPaperPubMedID,ControlPaperPubMedID,PMCID,XMLLINK,journal_nlm_ta,article_type,title,publication_year,first_author_given_names,first_author_surname
28625390,30722976,PMC6367704,s3://pmc-oa-opendata/PMC6367704.1/PMC6367704.1.xml?md5=d1742a2e05e9936dc570722249967ea0,Brain Res,research-article,Phosphoinositol metabolism affects AMP kinase-dependent K-ATP currents in rat substantia nigra dopamine neurons,2018,Ke-Zhong,Shen
28851690,30538099,PMC6365187,s3://pmc-oa-opendata/PMC6365187.1/PMC6365187.1.xml?md5=b9a510a75aa7f367895fe82a493900a9,Cancer Prev Res (Phila),research-article,Case-only Methods Identified Genetic Loci Predicting a Subgroup of Men with Reduced Risk of High-grade Prostate Cancer by Finasteride,2018,James Y.,Dai
30872407,33245358,PMC7736624,s3://pmc-oa-opendata/PMC7736624.1/PMC7736624.1.xml?md5=4f79303f9d499e39c4b6fec61d5f31a0,Biosci Rep,research-article,β-glucan from Lentinus edodes inhibits breast cancer progression via the Nur77/HIF-1α axis,2020,Xiuru,Zhang
34204997,38201627,PMC10778298,s3://pmc-oa-opendata/PMC10778298.1/PMC10778298.1.xml?md5=d3ad8e89d7a3ff5de54c147ee952ad01,Cancers (Basel),research-article,Prediction of 177Lu-DOTATATE Therapy Outcomes in Neuroendocrine Tumor Patients Using Semi-Automatic Tumor Delineation on 68Ga-DOTATATE PET/CT,2023,Hwan,Lee
23034916,24596948,PMC4031329,s3://pmc-oa-opendata/PMC4031329.1/PMC4031329.1.xml?md5=0f5e1e9efc8cb3b20cb280299babd940,Ann Neurol,research-article,SLC25A22 is a Novel Gene for Migrating Partial Seizures in Infancy,2013,Annapurna,Poduri
32287335,26973349,PMC4783833,s3://pmc-oa-opendata/PMC4783833.1/PMC4783833.1.xml?md5=e38429cec7120527aa330017d779c701,Anim Behav,research-article,Why does costly signalling evolve? Challenges with testing the handicap hypothesis,2015,Szabolcs,Számadó
26783110,29275334,PMC5867400,s3://pmc-oa-opendata/PMC5867400.1/PMC5867400.1.xml?md5=d4d7638982353c5a25da30a80f9eb7ca,Ann Rheum Dis,research-article,Effect of rituximab on a salivary gland ultrasound score in primary Sjögren’s syndrome: results of the TRACTISS randomised double-blind multicentre substudy,2018,Benjamin A,Fisher
19153139,21193487,PMC3082913,s3://pmc-oa-opendata/PMC3082913.1/PMC3082913.1.xml?md5=1b9dedc1b289b4172bb38965a1c6e61d,Nucleic Acids Res,research-article,Regulation of nucleotide excision repair activity by transcriptional and post-transcriptional control of the XPA protein,2011,Tae-Hong,Kang
36643134,38107460,PMC10723167,s3://pmc-oa-opendata/PMC10723167.1/PMC10723167.1.xml?md5=2d8f3e285c07dff14fc8403fa5d52888,J Adv Pharm Technol Res,research-article,"Chromolaena odorata Linn leaf extract – Geothermal versus nongeothermal: Phytochemical, antioxidant, and cytotoxicity screenings",2023,Azzaki,Abubakar
36643137,38107459,PMC10723171,s3://pmc-oa-opendata/PMC10723171.1/PMC10723171.1.xml?md5=0fec1aa1ae06a75936f0f79e4382972f,J Adv Pharm Technol Res,research-article,Viability of human dental pulp stem cells: The potential of L-arginine-based culture media,2023,Sammy Henry,Lay
