feature,mean_difference,median_difference,std_difference,wilcoxon_statistic,p_value,rank_biserial,point_biserial_r,control_mean,control_median,control_std,control_q1,control_q3,control_iqr,control_min,control_max,control_range,control_skewness,control_kurtosis,control_n_outliers,retracted_mean,retracted_median,retracted_std,retracted_q1,retracted_q3,retracted_iqr,retracted_min,retracted_max,retracted_range,retracted_skewness,retracted_kurtosis,retracted_n_outliers,q_value,significant
automated_readability_index,-0.5947175906742241,-0.511751809031832,3.2188315111557975,99303.0,2.593610985957124e-06,-0.20421042508945347,-0.11613854750981532,18.81281439391508,18.47517824779903,2.683020531494359,16.955260199648748,20.173799145987914,3.218538946339166,12.656705919071022,34.404928246310845,21.748222327239823,0.906582750000792,1.9121047688143396,19,18.218096803240858,17.956507538985402,2.3987481292231454,16.552171199736186,19.499755813028933,2.9475846132927472,12.601553990385383,30.21175649403884,17.610202503653458,0.952968131358729,1.9093014102341703,18,7.278843734782896e-06,True
top_ngram_chr_fraction_4,0.0012022977209488284,0.0009180920490971499,0.007992379835495375,101089.0,1.2358351081115947e-05,0.18989786473588682,0.10234318947591847,0.007096983352888239,0.0056881634432595,0.005379351391161619,0.0035901231714692253,0.009266143295993975,0.00567602012452475,0.0004253755873083,0.0441275602800103,0.043702184692702005,2.298091309347478,8.785278604209093,31,0.008299281073837065,0.0069179930317878995,0.0062802048030333405,0.004248323790049625,0.0105252551767086,0.006276931386658975,0.0,0.0722753346080306,0.0722753346080306,2.9993007811101235,19.39749322689298,29,3.359926700178398e-05,True
sentence_length_median,-0.7301699716713881,-1.0,4.210986538881728,83980.5,1.4944645521656364e-05,-0.19628578674616354,-0.10873867320255251,23.762039660056658,23.0,3.3832131822755005,22.0,26.0,4.0,16.0,48.0,32.0,1.1169341740723295,4.399066484103697,7,23.031869688385267,23.0,3.2960395172550423,21.0,25.0,4.0,15.0,40.0,25.0,0.7195549656140428,1.4068875648043235,12,3.939952001163951e-05,True
n_sentences,12.668555240793202,12.0,90.10158523748,100269.5,4.640890810024769e-05,0.17795376940451152,0.07161417611505261,179.4801699716714,159.0,88.92403501514832,118.0,219.0,101.0,34.0,855.0,821.0,1.604352430222684,5.45482890824446,28,192.1487252124646,181.0,87.6423048197461,132.25,232.0,99.75,35.0,826.0,791.0,1.5761182934421154,5.635260417318342,22,0.00011875220602122202,True
pos_prop_NUM,-0.0025321196719419537,-0.0027372949900627518,0.016599375271003445,102993.0,5.821296123791054e-05,-0.17463968169378652,-0.09540137185745273,0.041192821723730476,0.03976468131915725,0.014154878769532862,0.03227529138409008,0.04820215173242285,0.015926860348332773,0.0118466898954703,0.1721575104311543,0.160310820535684,2.6556530684379305,18.841074109518306,13,0.03866070205178852,0.0373546524399644,0.012213148569421146,0.030294998008268074,0.04476336280027526,0.014468364792007183,0.0064423765211166,0.1010306482234879,0.0945882717023713,0.8943385684041598,2.0220232733476493,18,0.0001447007893628062,True
sentence_length_mean,-0.8358078333784675,-0.7024852981614291,5.676690560811678,104396.0,0.0001691471134516141,-0.1633963882021549,-0.09200915220850579,27.921084136360676,27.246399176954732,4.584998476709498,24.903243530662884,30.231928313976766,5.328684783313882,17.469594594594593,59.6764705882353,42.20687599364071,1.1641395050460053,3.6788494170116515,23,27.085276302982212,26.396533044420366,4.466064433136251,24.139332706766915,29.231933557981097,5.092600851214183,17.338028169014084,52.56140350877193,35.22337533975785,1.1626244117971094,2.86780925744147,23,0.00040877219084140074,True
mean_word_length,-0.0385875256336479,-0.045896351028252624,0.30975241469629866,104564.0,0.0001913735366894598,-0.16205007793373433,-0.08080582086872705,4.902139579937461,4.891508201687498,0.25739739991665567,4.743945557737992,5.058547633509994,0.31460207577200183,3.249478442280946,5.986247994499198,2.7367695522182522,-0.21043372146997893,3.3824158509633824,14,4.863552054303812,4.853843042104584,0.2172144258936109,4.72505975816647,4.990879674650398,0.26581991648392833,4.153145389634371,6.489106753812636,2.3359613641782646,0.696724064565051,4.36125868862581,15,0.0004499864241076487,True
top_ngram_chr_fraction_3,0.0013394584283031997,0.0008594625214777,0.010381457310808336,105174.0,0.00029733141587713337,0.15716168945911185,0.08694803410388363,0.009261811404686014,0.0073341083219029,0.007399831500850741,0.004070211606659425,0.012502376095729302,0.008432164489069877,0.0008131458580382,0.0861350375104195,0.0853218916523813,2.8184856975188652,18.48287364099423,22,0.010601269832989216,0.008703720666599149,0.007948189660511395,0.004894958335107575,0.013984858278206351,0.009089899943098776,0.001060124185976,0.0775015933715742,0.0764414691855982,2.0329508762462454,8.283288571263899,30,0.0006807324521397527,True
pos_prop_PUNCT,0.0025060903450670915,0.0035296387612131913,0.02543603106691866,105708.0,0.0004330008395573405,0.15288234610591772,0.05798757890059904,0.14184318459851245,0.1411907078614688,0.023220687468679512,0.12821459743388908,0.15394198600156173,0.02572738856767265,0.0826821275523065,0.3460970097357441,0.26341488218343756,1.6582287868623522,11.615106037683667,15,0.14434927494357952,0.14427735072126968,0.019820818500672344,0.13120974729919666,0.15609467355236556,0.024884926253168904,0.0789830508474576,0.2636956789363535,0.18471262808889588,0.5945325210907446,3.1147409511528554,10,0.0009659249497817595,True
coleman_liau_index,-0.25429426448131515,-0.3200193492834451,2.0776679546262438,106078.0,0.000558815065934002,-0.14991725801475336,-0.08231615873422041,15.924450811415829,15.823318874766832,1.6791058842545334,14.828462111933543,16.96585741662116,2.1373953046876153,9.90010403296629,23.165691531722853,13.265587498756563,0.34632536273295506,0.7860219160830408,13,15.670156546934518,15.593638119669226,1.3880529772702697,14.752095256175288,16.43136009441844,1.679264838243153,12.040965018094088,26.84794888178914,14.806983863695052,1.165499290733165,6.0925521347689795,14,0.0012154227684064544,True
first_person_singular_rate,-0.17434568326046707,0.0,1.9042639927113734,56669.0,0.0009911799313420209,-0.16651591031099938,-0.06411141230711336,0.5511445694575239,0.12038158215553549,1.3851680537345261,0.0,0.5585828018622333,0.5585828018622333,0.0,19.500594530321045,19.500594530321045,6.921379208096143,68.75553235873241,63,0.37679888619705676,0.12684600552276404,1.3300187012117712,0.0,0.4225677341271827,0.4225677341271827,0.0,31.03683492496589,31.03683492496589,17.99612645718235,403.038606138545,49,0.002103235464067215,True
sentence_length_std,-1.1107668988040906,-0.7027551169848163,9.433768247812376,107525.0,0.0014529101506328501,-0.13832135945282104,-0.07299063647603793,18.393144377926546,16.355521982179496,8.499812556683915,13.616134126720636,20.96300020391139,7.346866077190752,8.749225041305907,151.54735554754484,142.79813050623892,6.398399197733087,86.43082830201078,37,17.282377479122452,15.436670533000065,6.56448447929846,13.43328372419937,18.897770251053636,5.464486526854266,8.958601200986168,60.142681453618856,51.18408025263269,2.4734835807961892,8.744001457320316,56,0.003009599597739475,True
