OriginalPaperDOI,OriginalPaperPubMedID,PMCID,XMLLINK,journal_nlm_ta,article_type,title,publication_year,keywords,mesh_terms,first_author_given_names,first_author_surname
10.1016/j.omtn.2019.09.033,31751910,PMC6881674,s3://pmc-oa-opendata/PMC6881674.1/PMC6881674.1.xml?md5=b27e80c6017291ece5a2dd6c50d5bf52,Mol Ther Nucleic Acids,research-article,LncRNA LINC00963 Promotes Tumorigenesis and Radioresistance in Breast Cancer by Sponging miR-324-3p and Inducing ACK1 Expression,2019,ROS | cell cycle arrest | growth | lncRNA | radioresistance,,Na,Zhang
10.1016/j.isci.2021.103535,34977500,PMC8683592,s3://pmc-oa-opendata/PMC8683592.1/PMC8683592.1.xml?md5=03677401a5108c0ac4f9383b5856bd50,iScience,research-article,Nuclear respiratory factor-1 negatively regulates TGF-β1 and attenuates pulmonary fibrosis,2022,Biological sciences | Cell biology | Pathophysiology,,Hagir B.,Suliman
10.1039/D0NA00758G,36132041,PMC9419067,s3://pmc-oa-opendata/PMC9419067.1/PMC9419067.1.xml?md5=0aedf859441e074fc42e3b523ef2ba5c,Nanoscale Adv,research-article,CTL–doxorubicin (DOX)–gold complex nanoparticles (DOX–AuGCs): from synthesis to enhancement of therapeutic effect on liver cancer model†,2020,,,Qiqian,Liu
10.1021/acsomega.0c00376,32309723,PMC7161026,s3://pmc-oa-opendata/PMC7161026.1/PMC7161026.1.xml?md5=8170d81faba6b1abd13d589920f0bdee,ACS Omega,research-article,Thiol-Poly(Sodium Styrene Sulfonate) (PolyNaSS-SH) Gold Complexes: From a Chemical Design to a One-Step Synthesis of Hybrid Gold Nanoparticles and Their Interaction with Human Proteins,2020,,,Céline,Falentin-Daudré
10.1093/eurheartjsupp/suaf043,40980007,PMC12449212,s3://pmc-oa-opendata/PMC12449212.1/PMC12449212.1.xml?md5=e9e9ea30e5c9394334047ff5743b0d51,Eur Heart J Suppl,research-article,RETRACTED AND REMOVED: May Measurement Month 2022: an analysis of blood pressure screening results from Malawi,2025,,,Henry,Ndhlovu
10.1042/BSR20190946,31189746,PMC6620382,s3://pmc-oa-opendata/PMC6620382.1/PMC6620382.1.xml?md5=a6577cba1ce3ce51284a6a5dfcc69f70,Biosci Rep,research-article,DEPDC1 promotes cell proliferation and suppresses sensitivity to chemotherapy in human hepatocellular carcinoma,2019,DEPDC1 | JNK signaling pathway | cell proliferation | chemotherapy resistance | hepatocellular carcinoma,"Aged | Animals | Anthracenes / pharmacology | Antineoplastic Agents / pharmacology | Apoptosis / drug effects | Carcinoma, Hepatocellular / drug therapy, genetics, pathology | Cell Proliferation / drug effects | Drug Resistance, Neoplasm / genetics | Female | GTPase-Activating Proteins / genetics | Gene Expression Regulation, Neoplastic / drug effects | Hep G2 Cells | Humans | Kaplan-Meier Estimate | Liver Neoplasms / drug therapy, genetics, pathology | MAP Kinase Signaling System / drug effects | Male | Mice | Middle Aged | Neoplasm Proteins / genetics | Signal Transduction / drug effects | Xenograft Model Antitumor Assays",Chao,Zhou
10.1111/acel.12951,30907059,PMC6516172,s3://pmc-oa-opendata/PMC6516172.1/PMC6516172.1.xml?md5=f5f6f7f2e4bfb53e6ec11ac090835d58,Aging Cell,research-article,"1,25‐Dihydroxyvitamin D exerts an antiaging role by activation of Nrf2‐antioxidant signaling and inactivation of p16/p53‐senescence signaling",2019,Nrf2 | aging | cell senescence | p16 and p53 | vitamin D,"Acetylcysteine / pharmacology | Animals | Antioxidants / pharmacology | Calcium / metabolism, pharmacology | Cell Proliferation / drug effects | Cellular Senescence / drug effects, genetics | Cyclin-Dependent Kinase Inhibitor p16 / genetics, metabolism | Cyclin-Dependent Kinase Inhibitor p21 / genetics, metabolism | DNA Damage / drug effects | Female | Longevity / drug effects, genetics | Male | Mice | Mice, Inbred BALB C | Mice, Inbred C57BL | Mice, Transgenic | NF-E2-Related Factor 2 / genetics, metabolism | Oxidative Stress / drug effects | Phosphorus / metabolism, pharmacology | Receptors, Calcitriol / metabolism | Signal Transduction / drug effects, genetics | Tumor Suppressor Protein p53 / genetics, metabolism | Vitamin D / analogs & derivatives, metabolism, pharmacology",Lulu,Chen
10.1186/s12868-018-0420-5,29614969,PMC5883307,s3://pmc-oa-opendata/PMC5883307.1/PMC5883307.1.xml?md5=341d08adb5767bae1b65bf878e24ebf0,BMC Neurosci,research-article,27-Hydroxycholesterol increases α-synuclein protein levels through proteasomal inhibition in human dopaminergic neurons,2018,27-Hydroxycholesterol | Dopaminergic neurons | Liver X receptor | Parkinson’s disease | Proteasomal dysfunction | Αlpha-synuclein,"Cholesterol / blood | Dopaminergic Neurons / drug effects | Humans | Hydroxycholesterols / pharmacology | Parkinson Disease / drug therapy | RNA / drug effects | RNA, Messenger / drug effects | alpha-Synuclein / drug effects, metabolism",Jared,Schommer
10.3390/brainsci11121655,34942957,PMC8699139,s3://pmc-oa-opendata/PMC8699139.1/PMC8699139.1.xml?md5=36627a9b7db4302b5df1dd00f1801fa7,Brain Sci,research-article,RETRACTED: Differential Regulation of the EGFR/PI3K/AKT/PTEN Pathway between Low- and High-Grade Gliomas,2025,apoptosis | cancer | gliomas | pathway | proliferation,,Alveiro,Erira
10.3390/antiox9060489,32512788,PMC7346210,s3://pmc-oa-opendata/PMC7346210.1/PMC7346210.1.xml?md5=39ca9bddcbe40935b1918558c3dd88fe,Antioxidants (Basel),research-article,"RETRACTED: Cold-Pressed Nigella Sativa Oil Standardized to 3% Thymoquinone Potentiates Omega-3 Protection against Obesity-Induced Oxidative Stress, Inflammation, and Markers of Insulin Resistance Accompanied with Conversion of White to Beige Fat in Mice",2025,beige adipocyte | inflammation | insulin resistance | obesity | omega 3 | thymoquinone,,Hsin Hsueh,Shen
